Time	size	received	dropped
5	0	10760	0
10	0	20841	0
15	0	30299	0
20	0	39677	0
25	0	48952	0
30	0	58715	0
35	0	67603	0
40	0	76624	0
45	0	85532	0
50	0	93653	0
55	0	101993	0
60	0	110570	0
65	0	118498	0
70	0	127291	0
75	0	135472	0
80	1	143779	0
85	0	152446	0
90	0	160510	0
95	0	169266	0
100	0	177605	0
105	0	185616	0
110	0	194005	0
115	0	202568	0
120	0	210530	0
125	0	219287	0
130	0	227494	0
135	0	235786	0
140	0	244450	0
145	0	252413	0
150	0	261078	0
155	1	269370	0
160	0	277580	0
165	0	286161	0
170	0	294240	0
175	0	302993	0
180	0	311413	0
185	0	319788	0
190	0	327946	0
195	0	336112	0
200	0	344865	0
