Time	size	received	dropped
5	257	11014	0
10	1	18291	0
15	0	27224	0
20	0	36602	0
25	0	45001	0
30	0	53370	0
35	0	62404	0
40	211	71753	0
45	0	79667	0
50	0	88578	0
55	0	97190	0
60	1	106364	0
65	0	114447	0
70	0	123217	0
75	0	131398	0
80	0	139868	0
85	0	148558	0
90	0	156934	0
95	0	164886	0
100	0	173681	0
105	0	181948	0
110	0	190400	0
115	0	198947	0
120	0	206725	0
125	1	215263	0
130	0	224122	0
135	1	233190	0
140	1	241242	0
145	0	249798	0
150	0	258580	0
155	0	266921	0
160	0	275106	0
165	0	283778	0
170	0	292280	0
175	0	300976	0
180	0	309572	0
185	0	317866	0
190	0	326110	0
195	0	334992	0
200	0	343544	0
