Time	size	received	dropped
5	0	34	0
10	0	88	0
15	0	207	0
20	0	408	0
25	0	709	0
30	0	1088	0
35	0	1637	0
40	2	2422	0
45	12	3302	0
50	19	4244	0555	0	5417	0660	0	6722	0665	0	8011	0770	7	9016	0
75	0	9993	0
80	0	11240	0
85	0	12534	0
90	0	13834	0
95	0	14782	0
100	0	15793	0
105	0	17046	0
110	0	18300	0
115	0	19646	0
120	0	20518	0
125	0	21587	0
130	0	22870	0
135	0	24124	0
140	0	25476	0
145	0	26344	0
150	0	27420	0
155	0	28694	0
160	0	29948	0
165	0	31300	0
170	0	32174	0
175	0	33264	0
180	0	34534	0
185	0	35772	0
190	1	37046	0
195	0	37990	0
200	0	39006	0

	0
741	0
4	0
0
8	0
195	0	336114	0
200	0	344867	0
