Time	size	received	dropped
5	0	32	0
10	0	151	0
15	0	502	0
20	0	1430	0
25	0	2355	0
30	0	3195	0
35	0	4081	0
40	0	4937	0
45	0	5863	0
50	0	6717	0
55	0	7691	0
60	0	8610	0
65	0	9554	0
70	0	10438	0
75	0	11400	0
80	0	12409	0
85	0	13456	0
90	0	14511	0
95	0	15539	0
100	0	16583	0
105	0	17646	0
110	0	18636	0
115	2	19600	0
120	0	20525	0
125	0	21402	0
130	0	22342	0
135	0	23402	0
140	0	23541	0
145	0	23779	0
150	0	24062	0
155	0	24474	0
160	0	24932	0
165	0	25451	0
170	0	26177	0
175	0	27029	0
180	0	27878	0
185	0	28709	0
190	0	29623	0
195	0	30701	0
200	0	31926	0
0
8	0
62006	0


195	0	332528	0
200	0	340837	0
