Time	size	received	dropped
5	0	10342	0
10	1	18465	0
15	0	27293	0
20	0	35527	0
25	0	44133	0
30	0	52777	0
35	1	61158	0
40	0	69779	0
45	0	78217	0
50	0	86581	0
55	0	95162	0
60	0	103682	0
65	0	112322	0
70	0	120761	0
75	0	129202	0
80	0	137639	0
85	1	146135	0
90	0	154593	0
95	0	163017	0
100	1	171420	0
105	0	179787	0
110	0	188065	0
115	0	196628	0
120	0	205319	0
125	0	213672	0
130	0	222370	0
135	0	230674	0
140	0	239344	0
145	0	247733	0
150	0	256284	0
155	0	264801	0
160	1	273204	0
165	1	281776	0
170	0	290251	0
175	0	298811	0
180	0	307272	0
185	1	315649	0
190	1	324120	0
195	0	332524	0
200	2	340832	0
