Time	size	received	dropped
5	0	10756	0
10	0	20837	0
15	0	30299	0
20	0	39677	0
25	0	48948	0
30	0	58714	0
35	0	67603	0
40	0	76620	0
45	0	85528	0
50	1	93653	0
55	0	101991	0
60	0	110568	0
65	0	118496	0
70	0	127291	0
75	0	135470	0
80	0	143774	0
85	0	152445	0
90	0	160508	0
95	1	169265	0
100	0	177605	0
105	1	185614	0
110	0	194003	0
115	0	202565	0
120	0	210528	0
125	0	219287	0
130	0	227492	0
135	0	235785	0
140	0	244448	0
145	0	252411	0
150	0	261076	0
155	0	269367	0
160	0	277578	0
165	0	286159	0
170	0	294238	0
175	0	302988	0
180	0	311411	0
185	0	319786	0
190	0	327944	0
195	0	336108	0
200	0	344863	0
