Time	size	received	dropped
5	0	144	0
10	0	155	0
15	0	163	0
20	0	172	0
25	0	177	0
30	0	182	0
35	0	188	0
40	0	194	0
45	0	200	0
50	0	204	0
55	0	206	0
60	0	212	0
65	0	219	0
70	0	225	0
75	0	230	0
80	0	233	0
85	0	234	0
90	0	238	0
95	0	242	0
100	0	247	0
