Time	size	received	dropped
5	3183	11007	0
10	4168	20359	0
15	5609	30167	0
20	6560	39485	0
25	7231	48523	0
30	8257	57915	0
35	9096	67121	0
40	9739	76131	0
45	10000	84759	0
50	10000	93126	0
55	10000	101492	0
60	10000	109859	0
65	10000	118226	0
70	10000	126593	0
75	10000	134960	0
80	10000	143327	0
85	10000	151693	0
90	10000	160060	0
95	10000	168427	0
100	10000	176794	0
