Time	size	received	dropped
5	1287	20221	0
10	1286	41137	0
15	1287	62055	0
20	1288	82973	0
25	1287	103889	0
30	1288	124807	0
35	1287	145723	0
40	1288	166641	0
45	1287	187557	0
50	1287	208475	0
55	1286	229391	0
60	1287	250309	0
65	1286	271225	0
70	1287	292143	0
75	1288	313061	0
80	1287	333977	0
85	1288	354895	0
90	1287	375811	0
95	1288	396729	0
100	1287	417645	0
