Time	size	received	dropped
5	0	22	0
10	0	105	0
15	0	177	0
20	0	384	0
25	0	642	0
30	0	895	0
35	0	1228	0
40	0	1627	0
45	0	2042	0
50	0	2445	0
55	0	2860	0
60	0	3260	0
65	0	3719	0
70	0	4254	0
75	0	4823	0
80	0	5379	0
85	0	5958	0
90	1	6650	0
95	0	7365	0
100	0	8109	0
	0
982	0
	0	24122	0
64	0
	170426	0
