Time	size	received	dropped
5	0	33	0
10	0	200	0
15	0	409	0
20	0	719	0
25	0	1101	0
30	0	2370	0
35	0	3116	0
40	0	3750	0
45	0	4229	0
50	1	5257	0
55	0	6250	0
60	0	6981	0
65	0	7610	0
70	0	8384	0
75	0	9020	0
80	0	9838	0
85	1	10637	0
90	0	11538	0
95	0	12342	0
100	0	13379	0
105	0	14307	0
110	0	15378	0
115	0	16553	0
120	0	17658	0
125	0	19486	0
130	0	21067	0
135	0	22390	0
140	0	23895	0
145	0	25329	0
150	0	26897	0
155	0	28258	0
160	0	29225	0
165	0	30323	0
170	0	31082	0
175	0	31795	0
180	0	31963	0
185	0	31983	0
190	0	32018	0
195	0	32076	0
200	0	32213	0
	0
0
	46457	0
0
0	0	71699	0
	334996	0
200	0	343546	0
