Time	size	received	dropped
5	2805	10754	0
10	4518	20834	0
15	5614	30297	0
20	6624	39674	0
25	7530	48946	0
30	8929	58712	0
35	9450	67600	0
40	10000	76517	0
45	10000	84884	0
50	10000	93250	0
55	10000	101617	0
60	10000	109984	0
65	10000	118351	0
70	10000	126718	0
75	10000	135084	0
80	10000	143451	0
85	10000	151818	0
90	10000	160185	0
95	10000	168552	0
100	10000	176919	0
105	10000	185285	0
110	10000	193652	0
115	10000	202019	0
120	10000	210386	0
125	10000	218753	0
130	10000	227119	0
135	10000	235486	0
140	10000	243853	0
145	10000	252220	0
150	10000	260587	0
155	10000	268954	0
160	10000	277320	0
165	10000	285687	0
170	10000	294054	0
175	10000	302421	0
180	10000	310788	0
185	10000	319154	0
190	10000	327521	0
195	10000	335888	0
200	10000	344255	0
