Time	size	received	dropped
5	100	8049	0
10	100	16416	0
15	100	24783	0
20	100	33259	0
25	100	41626	0
30	100	50166	0
35	100	58532	0
40	100	67033	0
45	100	75400	0
50	100	83900	0
55	100	92267	0
60	100	100633	0
65	100	109238	0
70	100	117777	0
75	100	126157	0
80	100	134544	0
85	100	142929	0
90	100	151316	0
95	100	159702	0
100	100	168089	0
105	100	176476	0
110	100	184849	0
115	100	193216	0
120	100	201737	0
125	100	210203	0
130	100	218746	0
135	100	227114	0
140	100	235674	0
145	100	244183	0
150	100	252550	0
155	100	261006	0
160	100	269392	0
165	100	277911	0
170	100	286348	0
175	100	294845	0
180	100	303316	0
185	100	311682	0
190	100	320124	0
195	100	328491	0
200	100	336899	0
