Time	size	received	dropped
5	0	707	0
10	0	1373	0
15	0	1796	0
20	0	1995	0
25	0	2333	0
30	0	3331	0
35	0	4042	0
40	0	4365	0
45	0	5046	0
50	0	6318	0
55	0	7043	0
60	0	7270	0
65	0	8187	0
70	0	8959	0
75	0	9896	0
80	0	10146	0
85	0	10158	0
90	0	10168	0
95	0	10177	0
100	0	10190	0
105	0	10202	0
110	0	10214	0
115	0	10226	0
120	0	10237	0
125	0	10249	0
130	0	10260	0
135	0	10270	0
140	0	10281	0
145	0	10293	0
150	0	10304	0
155	0	10313	0
160	0	10326	0
165	0	10359	0
170	0	10693	0
175	0	11610	0
180	0	12597	0
185	0	14018	0
190	0	15396	0
195	0	16637	0
200	0	17874	0
