Time	size	received	dropped
5	0	10342	0
10	0	18466	0
15	0	27295	0
20	0	35531	0
25	0	44135	0
30	0	52780	0
35	0	61160	0
40	0	69780	0
45	0	78219	0
50	1	86585	0
55	0	95164	0
60	0	103684	0
65	0	112325	0
70	0	120763	0
75	0	129205	0
80	0	137642	0
85	0	146136	0
90	0	154596	0
95	0	163019	0
100	0	171422	0
105	0	179789	0
110	0	188066	0
115	0	196630	0
120	0	205319	0
125	0	213673	0
130	0	222371	0
135	0	230676	0
140	0	239347	0
145	0	247737	0
150	0	256286	0
155	0	264802	0
160	0	273206	0
165	0	281776	0
170	0	290253	0
175	0	298815	0
180	0	307274	0
185	0	315651	0
190	0	324122	0
195	0	332526	0
200	0	340833	0
