Time	size	received	dropped
5	0	4008	0
10	0	8192	0
15	0	12215	0
20	0	16395	0
25	0	20414	0
30	0	24596	0
35	0	28613	0
40	0	32799	0
45	0	36812	0
50	0	40994	0
55	0	45014	0
60	0	49200	0
65	0	53223	0
70	0	57408	0
75	0	61424	0
80	0	65606	0
85	0	69630	0
90	0	73814	0
95	0	77864	0
100	0	82046	0
