Time	size	received	dropped
5	49	4021	0
10	0	5617	0
15	0	8627	0
20	0	11363	0
25	0	13945	0
30	0	16436	0
35	0	18861	0
40	0	21241	0
45	6	23591	0
50	0	25873	0
55	0	28133	0
60	0	30340	0
65	0	32486	0
70	2	34560	0
75	0	36607	0
80	9	38642	0
85	0	40664	0
90	0	42702	0
95	0	44712	0
100	0	46698	0
