Time	size	received	dropped
5	23	3995	0
10	0	7265	0
15	0	9771	0
20	0	12064	0
25	0	13837	0
30	0	15464	0
35	0	16903	0
40	0	18167	0
45	0	19425	0
50	0	20505	0
55	0	21579	0
60	0	22539	0
65	0	23771	0
70	26	25592	0
75	14	28091	0
80	0	30639	0
85	0	32109	0
90	0	33643	0
95	1	35313	0
100	0	37070	0
