Time	size	received	dropped
5	0	29	0
10	0	155	0
15	0	302	0
20	0	511	0
25	0	893	0
30	0	1330	0
35	0	1741	0
40	0	2166	0
45	0	2578	0
50	0	3019	0
55	0	3582	0
60	0	4308	0
65	0	5156	0
70	0	6056	0
75	0	6996	0
80	0	7900	0
85	0	8757	0
90	0	9653	0
95	0	10555	0
100	0	11461	0

089	0
987	0
0	48687	0
0
0867	0
